"cod","sex","age","pop1","pop2","deaths","date1","date2"
12,"m",40,18382,22916,797,2001-11-25,2010-11-28
12,"m",45,14641,20410,983,2001-11-25,2010-11-28
12,"m",5,38059,43797,293,2001-11-25,2010-11-28
12,"m",50,12952,16445,904,2001-11-25,2010-11-28
12,"m",55,9337,14038,1013,2001-11-25,2010-11-28
12,"m",60,8394,10960,1175,2001-11-25,2010-11-28
12,"m",65,6504,8715,1268,2001-11-25,2010-11-28
12,"m",70,5353,6699,1444,2001-11-25,2010-11-28
12,"m",75,3715,4279,1548,2001-11-25,2010-11-28
12,"m",80,2404,2740,1400,2001-11-25,2010-11-28
12,"m",85,3655,1909,1962,2001-11-25,2010-11-28
12,"f",0,36938,40793,1036,2001-11-25,2010-11-28
12,"f",10,35655,42921,195,2001-11-25,2010-11-28
12,"f",15,32034,38068,247,2001-11-25,2010-11-28
12,"f",20,31130,32721,319,2001-11-25,2010-11-28
12,"f",25,25090,30246,345,2001-11-25,2010-11-28
12,"f",30,22271,28001,291,2001-11-25,2010-11-28
12,"f",35,20023,24551,359,2001-11-25,2010-11-28
12,"f",40,16690,21143,378,2001-11-25,2010-11-28
12,"f",45,13442,19047,523,2001-11-25,2010-11-28
12,"f",5,36674,42753,208,2001-11-25,2010-11-28
12,"f",50,11418,15212,597,2001-11-25,2010-11-28
12,"f",55,8115,12735,683,2001-11-25,2010-11-28
12,"f",60,7238,9722,813,2001-11-25,2010-11-28
12,"f",65,5666,8024,898,2001-11-25,2010-11-28
12,"f",70,4314,5716,1018,2001-11-25,2010-11-28
12,"f",75,2911,3608,1039,2001-11-25,2010-11-28
12,"f",80,2346,2467,977,2001-11-25,2010-11-28
12,"f",85,3654,2155,2129,2001-11-25,2010-11-28
13,"m",0,69587,71026,1376,2001-11-25,2010-11-28
13,"m",10,70354,77844,352,2001-11-25,2010-11-28
13,"m",15,60704,68237,692,2001-11-25,2010-11-28
13,"m",20,55347,57489,1278,2001-11-25,2010-11-28
13,"m",25,44173,51998,1384,2001-11-25,2010-11-28
13,"m",30,41925,48281,1265,2001-11-25,2010-11-28
13,"m",35,36277,44206,1200,2001-11-25,2010-11-28
13,"m",40,32191,39812,1180,2001-11-25,2010-11-28
13,"m",45,26566,35070,1282,2001-11-25,2010-11-28
13,"m",5,69585,77179,397,2001-11-25,2010-11-28
13,"m",50,23176,29598,1624,2001-11-25,2010-11-28
13,"m",55,16238,25288,1726,2001-11-25,2010-11-28
13,"m",60,14426,19690,1853,2001-11-25,2010-11-28
13,"m",65,11706,14666,2292,2001-11-25,2010-11-28
13,"m",70,9513,12073,2515,2001-11-25,2010-11-28
13,"m",75,6815,7574,2541,2001-11-25,2010-11-28
13,"m",80,4483,5313,2458,2001-11-25,2010-11-28
13,"m",85,6455,4181,4224,2001-11-25,2010-11-28
13,"f",0,67649,68259,1088,2001-11-25,2010-11-28
13,"f",10,67447,74775,278,2001-11-25,2010-11-28
13,"f",15,59773,67452,388,2001-11-25,2010-11-28
13,"f",20,55692,58048,404,2001-11-25,2010-11-28
13,"f",25,46482,53256,418,2001-11-25,2010-11-28
13,"f",30,41817,49059,426,2001-11-25,2010-11-28
13,"f",35,36133,45000,509,2001-11-25,2010-11-28
13,"f",40,31034,39374,574,2001-11-25,2010-11-28
13,"f",45,25587,34337,752,2001-11-25,2010-11-28
13,"f",5,67938,73745,302,2001-11-25,2010-11-28
13,"f",50,21629,28823,931,2001-11-25,2010-11-28
13,"f",55,15191,24546,1050,2001-11-25,2010-11-28
13,"f",60,13962,18878,1194,2001-11-25,2010-11-28
13,"f",65,11862,14510,1472,2001-11-25,2010-11-28
13,"f",70,9159,11963,1792,2001-11-25,2010-11-28
13,"f",75,7352,7975,2025,2001-11-25,2010-11-28
13,"f",80,5209,5746,2150,2001-11-25,2010-11-28
13,"f",85,8608,5829,5119,2001-11-25,2010-11-28
14,"m",0,9123,11216,214,2001-11-25,2010-11-28
14,"m",10,7900,9959,47,2001-11-25,2010-11-28
14,"m",15,6632,8469,84,2001-11-25,2010-11-28
14,"m",20,4172,6304,92,2001-11-25,2010-11-28
14,"m",25,3376,5466,56,2001-11-25,2010-11-28
14,"m",30,3236,4141,52,2001-11-25,2010-11-28
14,"m",35,2827,3626,64,2001-11-25,2010-11-28
